,Are you a member of OHBM?,What geographic region are you currently located in?,What is your current career status?,"Which of the following platforms do you use to access OHBM content? When applicable, a direct link to the platform is provided next to each option. Please check all options that apply.",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,How would you describe your access to the OHBM job board?,How would you describe the content on the OHBM job board?,How would you describe your access to emails from OHBM?,How would you describe the content in OHBM emails?,How would you describe your access to the OHBM blog?,How would you describe the content in the OHBM blog?,How would you describe your access to OHBM Twitter?,How would you describe the content on OHBM Twitter?,How would you describe your access to the NeuroSalience podcast?,How would you describe the content in the NeuroSalience podcast?,How would you describe your access to OHBM Facebook?,How would you describe the content in OHBM Facebook?,How would you describe your access to OHBM YouTube?,How would you describe the content in OHBM YouTube?,How would you describe your access to OHBM LinkedIn?,How would you describe the content in OHBM LinkedIn?,How would you describe your access to the OHBM OnDemand?,How would you describe the content in OHBM OnDemand?,"Do you currently follow any of the following OHBM Special Interest Groups (SIG) platforms? When applicable, a direct link to the platform is provided next to each option. Please check all options that apply.",Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,How important is each of these types of content to you?,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,Response,Response,Response,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),NeuroSalience podcast (https://anchor.fm/ohbm),Facebook (https://www.facebook.com/humanbrainmapping.org),Youtube (https://www.youtube.com/channel/UCwMM4wEFi_hx2_6wVVoPBJA),LinkedIn (https://www.linkedin.com/company/organization-for-human-brain-mapping),OHBM OnDemand (https://www.pathlms.com/ohbm),OHBM Job Board,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),BrainArt Instagram (https://www.instagram.com/ohbm_basig),Open Science Twitter (https://twitter.com/OhbmOpen),Student-Postdoc Blog (https://www.ohbmtrainees.com/sig-blog),Student-Postdoc Facebook (https://www.facebook.com/OHBMStudentandPostdocSection),Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),Sustainability Blog (https://ohbm-environment.org/blog),Sustainability Twitter (https://twitter.com/OhbmEnvironment),Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
1,Yes,Asia,"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I know about the OHBM job board but I don't use it,Postings are relevant when related to the Annual Meeting,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,Student-Postdoc Blog (https://www.ohbmtrainees.com/sig-blog),,,Sustainability Blog (https://ohbm-environment.org/blog),,Information on the annual meeting,,,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
2,No,North America (Including Canada and Mexico),Non-academic position,,Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is not relevant to me,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,,Controversial topics in the field,
3,Yes,Asia,Undergraduate student,,,,,,,,,,,,,I get emails from OHBM and I always read them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yes,North America (Including Canada and Mexico),Doctoral student,,,,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM but I don't read them,I don’t know / NA,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter and know about OHBM Twitter, but I don’t follow the account",I don’t know / NA,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,,,,,,,,
5,Yes,Europe,"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,,,,,,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is very relevant throughout the year,,,,,,,"I use LinkedIn, follow the page, and occasionally see their posts",,,,,,,,,,,,,,,,,,,
6,Yes,North America (Including Canada and Mexico),Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,Postings are relevant when related to the Annual Meeting,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,"I use Facebook and know about the OHBM Facebook page, but I don’t follow/like the page",I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
7,No,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),,,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,Postings are somewhat relevant,I don't get emails from OHBM,I don’t know / NA,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter and know about OHBM Twitter, but I don’t follow the account",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,Open Science Twitter (https://twitter.com/OhbmOpen),,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
8,Yes,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),,,,,,,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,,,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
9,Yes,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant throughout the year,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is very relevant throughout the year,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
10,No,North America (Including Canada and Mexico),Research staff,,,,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,I don’t know / NA,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is somewhat relevant,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,,,Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
11,Yes,Europe,"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,Reviews on OHBM activities,,,,
12,Yes,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I use Twitter but didn’t know that the OHBM Twitter account exists,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
13,Yes,Europe,"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),,,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,Postings are not relevant to me,I don't get emails from OHBM,I don’t know / NA,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",I don’t know / NA,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
14,Yes,Asia,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,OHBM Job Board,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is very relevant only when related to the annual meeting,I didn't know that OHBM had a podcast,I don’t know / NA,"I use Facebook and know about the OHBM Facebook page, but I don’t follow/like the page",I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,Interviews with human brain mappers,,,
15,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,,
16,Yes,Europe,Research staff,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,,
17,Yes,North America (Including Canada and Mexico),"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),,,,,,,,I didn't know OHBM had a job board,Postings are very relevant throughout the year,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant throughout the year,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",I don’t know / NA,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,"I use LinkedIn, follow the page, and occasionally see their posts",I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
18,No,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,,,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yes,North America (Including Canada and Mexico),Research staff,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant only when related to the annual meeting,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,"I use YouTube, subscribe to the channel, and occasionally watch their content",It is somewhat relevant,"I use LinkedIn, follow the page, and occasionally see their posts",It is somewhat relevant,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,,,,,,Sustainability Twitter (https://twitter.com/OhbmEnvironment),Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,,
20,No,Europe,"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),,,,,,,OHBM Job Board,I look at the OHBM job board regularly,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is somewhat relevant,I don’t use Twitter / NA,I don’t know / NA,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,,Interviews with human brain mappers,,,
21,Yes,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,OHBM OnDemand (https://www.pathlms.com/ohbm),OHBM Job Board,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant throughout the year,"I know about the blog, but I don’t read it",I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",I don’t know / NA,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I know about OnDemand and occasionally access the content,It is somewhat relevant,,,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
22,Yes,Europe,Research staff,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant throughout the year,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is very relevant only when related to the annual meeting,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and occasionally access the content,It is very relevant throughout the year,,,Open Science Twitter (https://twitter.com/OhbmOpen),,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,,,Exciting new science or developments in the brain mapping field
23,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is not relevant to me,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,Sustainability Twitter (https://twitter.com/OhbmEnvironment),Information on the annual meeting,,,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
24,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I know about OnDemand and occasionally access the content,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
25,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,Controversial topics in the field,Exciting new science or developments in the brain mapping field
26,Yes,Asia,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter and know about OHBM Twitter, but I don’t follow the account",It is very relevant only when related to the annual meeting,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
27,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,,,,,Exciting new science or developments in the brain mapping field
28,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,OHBM OnDemand (https://www.pathlms.com/ohbm),,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,"I know about the blog, but I don’t read it",It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and regularly access the content,It is very relevant throughout the year,,,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,,,,,,,,Exciting new science or developments in the brain mapping field
29,No,Europe,Postdoctoral researcher,,Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,OHBM Job Board,I look at the OHBM job board regularly,Postings are very relevant throughout the year,I get emails from OHBM and I always read them,It is very relevant throughout the year,"I know about the blog, but I don’t read it",I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is somewhat relevant,I know about the podcast and occasionally listen to the episodes,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,,,,,,,,
30,Yes,Europe,Research staff,OHBM website (https://www.humanbrainmapping.org),,,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,,I get emails from OHBM and I always read them,It is very relevant throughout the year,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is very relevant throughout the year,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,,,Exciting new science or developments in the brain mapping field
